intervention,label,intervention_type,direction_definition,challenge,modulation_fraction,native_parameter_value,simulation_status,hypo_burden_mgdl_min,hyper_burden_mgdl_min,abs_dev_from_target_mgdl_min,glucose_auc_mgdl_min,glucose_sd_mgdl,glucose_rmsd_mgdl,glucose_peak_mgdl,glucose_nadir_mgdl,recovery_time_min,undershoot_mgdl,insulin_auc_muL_min,glucagon_auc_pM_min,mean_glucose_mgdl,mean_insulin_muL,mean_glucagon_pM,composite_loss
glucagon_secretion,Alpha-cell glucagon secretion capacity,potentiation,"u:0=none,1=max",ivgtt,0.9,2.8,ok,1585.3969784996236,2168.1296243674115,7975.523226279472,15202.564593672521,63.892289517815726,7.910083145642319,412.8026033267839,42.011892390067075,112.0,50.03479200576888,22598.92566524112,9712.056041778897,84.69395316809204,125.89930732724858,54.106161792640094,217.09524529550595
glucagon_secretion,Alpha-cell glucagon secretion capacity,potentiation,"u:0=none,1=max",ivgtt,0.91,2.8200000000000003,ok,1585.3678939553597,2168.27088993278,7975.594539775604,15202.740242641758,63.89488476059037,7.910097636751335,412.821331742534,42.01510998449592,112.0,50.054305258909466,22600.937772988324,9780.682807761681,84.69493171388166,125.91051684116057,54.48848360870017,217.09539788082958
glucagon_secretion,Alpha-cell glucagon secretion capacity,potentiation,"u:0=none,1=max",ivgtt,0.92,2.84,ok,1585.3388394392828,2168.439125726136,7975.711731625053,15202.97531169421,63.897786282913316,7.9100535662324685,412.8399287316107,42.018237396282444,111.99999999999999,50.07379593711052,22603.260616690808,9849.398208486147,84.69624129077556,125.92345747460062,54.871299211622,217.09546164098523
glucagon_secretion,Alpha-cell glucagon secretion capacity,potentiation,"u:0=none,1=max",ivgtt,0.93,2.8600000000000003,ok,1585.3220016602386,2168.5485550191033,7975.775435826769,15203.130037620234,63.90008407050362,7.910159640460568,412.8584167777952,42.021314991113286,112.0,50.09322554558962,22605.04275298291,9918.142964313487,84.69710327365033,125.93338581048975,55.25427835272138,217.09704253508096
glucagon_secretion,Alpha-cell glucagon secretion capacity,potentiation,"u:0=none,1=max",ivgtt,0.9400000000000001,2.88,ok,1585.3282759789163,2168.693864840313,7975.8871141919335,15203.318412589964,63.902723909340985,7.910121822026834,412.87682617440083,42.023909450183695,112.5,50.113029432023836,22607.24184607036,9986.931212727748,84.69815271637863,125.94563702546161,55.63749979235514,217.1026559064714
glucagon_secretion,Alpha-cell glucagon secretion capacity,potentiation,"u:0=none,1=max",ivgtt,0.95,2.9,ok,1585.3464790841026,2168.8459437196857,7976.057934330836,15203.508521647012,63.905722780920335,7.910010579853085,412.8951919071208,42.02670135784858,112.5,50.13252628968942,22609.239509292292,10055.781226713832,84.69921181976052,125.95676606848073,56.02106532988208,217.10716074449056
glucagon_secretion,Alpha-cell glucagon secretion capacity,potentiation,"u:0=none,1=max",ivgtt,0.96,2.92,ok,1585.3744177857002,2168.981181733986,7976.211259235371,15203.645261700682,63.90829654577009,7.910091982970587,412.9134373444029,42.029072509577865,112.5,50.15233717960847,22611.29407026928,10124.658039240341,84.69997360278931,125.96821209063665,56.40478016289884,217.11329287935743
glucagon_secretion,Alpha-cell glucagon secretion capacity,potentiation,"u:0=none,1=max",ivgtt,0.97,2.94,ok,1585.415073863684,2169.103278002474,7976.325103653136,15203.736055278758,63.91072196632915,7.9101259380139295,412.9316040186863,42.03142730378374,112.49999999999999,50.17205776226559,22613.213036608973,10193.584674653277,84.70047941659476,125.97890271091352,56.7887725607425,217.12042775042875
glucagon_secretion,Alpha-cell glucagon secretion capacity,potentiation,"u:0=none,1=max",ivgtt,0.98,2.96,ok,1585.4713578722483,2169.255182068774,7976.530105488673,15203.87996456967,63.91370757315401,7.910173292889207,412.9496423885472,42.033662645260144,113.0,50.191793689416734,22615.314642187237,10262.568348775312,84.7012811396639,125.99061081998461,57.173082722982244,217.13147885103402
glucagon_secretion,Alpha-cell glucagon secretion capacity,potentiation,"u:0=none,1=max",ivgtt,0.99,2.98,ok,1585.540468296782,2169.394779460873,7986.391838032916,15239.298788886583,63.832109882360804,7.8990965714428025,412.967601278758,42.03580479331821,113.0,50.21151756322467,22625.666034781545,10357.170875518,84.66277104936991,125.69814463767526,57.539838197322226,217.07608873700082
glucagon_secretion,Alpha-cell glucagon secretion capacity,potentiation,"u:0=none,1=max",ivgtt,1.0,3.0,ok,1585.6144069030418,2169.539650201889,7976.893834366437,15204.074778537124,63.919291467739356,7.910059184812897,412.98552420205533,42.037730013605476,112.99999999999999,50.23135626683966,22619.160343057603,10400.645506725132,84.70236645424583,126.01203533736829,57.94231480069712,217.15149046636986
insulin_signal_global_inhibition,Insulin signalling inhibition,inhibition,"u:0=none,1=max",ivgtt,0.6,0.4,ok,128.63928694184352,3317.4057312056457,7906.766424967713,19351.469036344664,69.76639687150279,7.807241069191284,412.95950074645515,64.96542789917218,42.0,24.123386328405815,28982.66115054704,2126.2698763422313,107.80762694342431,161.4632933178108,11.845514631433044,72.47472798523188
insulin_signal_global_inhibition,Insulin signalling inhibition,inhibition,"u:0=none,1=max",ivgtt,0.61,0.39,ok,110.55806972773857,3354.2132846166196,7926.3900724873565,19464.666034310798,69.9186499452306,7.8054187957485865,413.0032140553209,65.4198879988279,42.49999999999999,23.668677591103787,29227.89398089774,2101.544781969944,108.43825088752536,162.82949292979245,11.707770373091611,70.74648576387754
insulin_signal_global_inhibition,Insulin signalling inhibition,inhibition,"u:0=none,1=max",ivgtt,0.62,0.38,ok,93.4804920582387,3392.0499895610383,7947.758486056766,19580.36854481038,70.07234156911674,7.803481725165477,413.0469408351192,65.87566918211117,43.0,23.212645894015097,29482.35051526774,2076.9220382379417,109.08283311872077,164.24707807948602,11.570596313303296,69.12096704445842
insulin_signal_global_inhibition,Insulin signalling inhibition,inhibition,"u:0=none,1=max",ivgtt,0.63,0.37,ok,77.41387102554738,3431.0792508185837,7970.811508888035,19698.8442005813,70.22830576443188,7.801664560000357,413.0907230660013,66.33313414134885,43.5,22.754928326770994,29747.885272307594,2052.402694779107,109.74286462719388,165.72638034711753,11.433998299605054,67.6004267823955
insulin_signal_global_inhibition,Insulin signalling inhibition,inhibition,"u:0=none,1=max",ivgtt,0.64,0.36,ok,62.48519281748144,3471.365672187306,7995.733867465778,19820.19452527239,70.38649375275537,7.799591289435344,413.13448692116253,66.79299949315651,44.0,22.294807548356076,30024.671633282604,2027.97266428594,110.418911004303,167.26836564502844,11.297897851175154,66.19613747135834
insulin_signal_global_inhibition,Insulin signalling inhibition,inhibition,"u:0=none,1=max",ivgtt,0.6499999999999999,0.3500000000000001,ok,48.783517867959056,3512.956317433149,8022.6882027049905,19944.57305838705,70.54657951740934,7.797675205800987,413.1783113518116,67.25602362407203,44.5,21.831525271505,30313.631108975365,2003.632068418216,111.11182762332618,168.87816773802433,11.162295645783933,64.91862049368245
insulin_signal_global_inhibition,Insulin signalling inhibition,inhibition,"u:0=none,1=max",ivgtt,0.6599999999999999,0.3400000000000001,ok,36.413831272355466,3555.8810810133373,8051.5913130078225,20072.091226904922,70.70810977345873,7.795874722466692,413.2221674831465,67.71817187703537,45.5,21.369116260087324,30615.353504935145,1979.3808483447244,111.82223524738119,170.55907245089216,11.027191355680916,63.78065741658451
insulin_signal_global_inhibition,Insulin signalling inhibition,inhibition,"u:0=none,1=max",ivgtt,0.6699999999999999,0.33000000000000007,ok,25.52287937413565,3600.244688991491,8082.700091096425,20202.9049215767,70.87147738558224,7.793813065977119,413.26602508326425,68.1850587880678,46.0,20.901966339890038,30930.5018704007,1955.1997134615626,112.55100234861672,172.31477365125738,10.892477512320683,62.79104904106844
insulin_signal_global_inhibition,Insulin signalling inhibition,inhibition,"u:0=none,1=max",ivgtt,0.6799999999999999,0.32000000000000006,ok,16.153976011776578,3646.090712307554,8116.0872861883,20337.412358503698,71.03610868126806,7.791962723148008,413.30989818602984,68.65231523815476,46.5,20.43444363444526,31260.759020857233,1931.1138326732023,113.3003474011348,174.1546463557506,10.758294332441238,61.95850573556362
insulin_signal_global_inhibition,Insulin signalling inhibition,inhibition,"u:0=none,1=max",ivgtt,0.69,0.31000000000000005,ok,8.426513262982773,3693.497169693176,8151.808277846518,20475.50968192408,71.2020360042567,7.790041326883212,413.35380949434443,69.12234619711728,47.49999999999999,19.96414307085422,31606.26643094721,1907.0943583758842,114.06969182130408,176.0794787239399,10.62448110515813,61.29588346198114
insulin_signal_global_inhibition,Insulin signalling inhibition,inhibition,"u:0=none,1=max",ivgtt,0.7,0.30000000000000004,ok,2.630681964171373,3742.6536504413225,8190.164968146284,20617.585201580245,71.36893631114988,7.787978449156014,413.3977453866592,69.59506546351928,48.0,19.491151636506174,31968.489902528003,1883.1540838116077,114.86119889459746,178.0974367828858,10.491109102014528,60.82815777644351
insulin_signal_global_inhibition,Insulin signalling inhibition,inhibition,"u:0=none,1=max",ivgtt,0.71,0.29000000000000004,ok,0.0,3793.6336938049426,8231.181684193614,20763.944765040877,71.53692258032682,7.786003389560263,413.44171659579604,70.0705479381813,48.99999999999999,19.015393370468445,32348.78514920437,1859.3027155607072,115.67657250719154,180.21607325462048,10.358232398666894,60.68397154699073
