intervention,challenge,response_class,u_opt,loss_baseline,loss_opt,loss_max,span,gain0,gain1
insulin_secretion,ivitt,Type0,0.0,68.8790639783398,68.8790639783398,174.47446585236568,105.59540187402588,,
glucagon_secretion,ivitt,TypeI,1.0,68.8790639783398,54.55420782998102,54.55420782998102,14.324856148358784,,
insulin_signal_global_inhibition,ivitt,TypeI,1.0,68.8790639783398,1.3459536253310902,1.3459536253310902,67.53311035300871,,
glucagon_signal_inhibition,ivitt,Type0,0.0,68.8790639783398,68.8790639783398,91.95928187056802,23.08021789222822,,
insulin_secretion_inhibition,ivitt,TypeI,0.95,68.8790639783398,21.74398843650183,22.930442420124415,47.13507554183797,,
glucagon_secretion_inhibition,ivitt,Type0,0.0,68.8790639783398,68.8790639783398,411.8482503094823,342.9691863311425,,
insulin_signal_peripheral,ivitt,Type0,0.0,68.8790639783398,68.8790639783398,148.51269904868627,79.63363507034647,,
insulin_signal_hepatic,ivitt,Type0,0.0,68.8790639783398,68.8790639783398,74.16092875451082,5.28186477617102,,
insulin_signal_global,civii,Type0,0.0,5.065112829423128,5.065112829423128,9.829860640098175,4.764747810675048,,
glucagon_signal_hepatic,civii,TypeI,1.0,5.065112829423128,4.940659147041668,4.940659147041668,0.12445368238145971,,
insulin_secretion,civii,TypeII,0.5,5.065112829423128,4.140481607577823,28.06279896218758,23.922317354609756,0.9246312218453046,23.922317354609756
glucagon_secretion,civii,TypeI,1.0,5.065112829423128,4.607348551191392,4.607348551191392,0.4577642782317355,,
insulin_signal_global_inhibition,civii,TypeI,1.0,5.065112829423128,2.8882002372646256,2.8882002372646256,2.176912592158502,,
glucagon_signal_inhibition,civii,Type0,0.0,5.065112829423128,5.065112829423128,5.232468561962516,0.16735573253938885,,
insulin_secretion_inhibition,civii,Type0,0.0,5.065112829423128,5.065112829423128,15.46449715859061,10.399384329167482,,
glucagon_secretion_inhibition,civii,Type0,0.45,5.065112829423128,5.003734366683371,247.06792355976683,242.06418919308345,,
insulin_signal_peripheral,civii,Type0,0.0,5.065112829423128,5.065112829423128,5.842337153425759,0.7772243240026313,,
insulin_signal_hepatic,civii,Type0,0.0,5.065112829423128,5.065112829423128,5.667291007086765,0.602178177663637,,
