t,u,glucose_mgdl,insulin_mU_L,glucagon_pM,GammaHGP,GammaPGU,GammaHGU,Secr,GammaPCR,MIPGU,MIHGPinf,MCHGP,MIHGUinf
150.0,0.0,64.95284925653696,15.596231611167285,22.2122260689111,0.865038777912673,0.14897507452980524,0.04535646282252649,37.04602648935174,19.009463698072416,1.0646775985871653,0.6971108015809805,1.376036552499615,1.1406384149116602
152.0,0.0,65.2431609769272,15.532483864552065,22.00113916114926,0.8652549190047838,0.14940796407549553,0.045819102171849986,36.71397600244061,18.835763733829996,1.0628205787090854,0.7043099324287442,1.3640911963937992,1.1371100142066712
154.0,0.0,65.53181419529183,15.469246427385265,21.793110295984288,0.8654994258273654,0.1498378033530019,0.04628523722499629,36.70899828990367,18.664747303795963,1.0609921982970887,0.7115095485738228,1.352386596609323,1.1335955218947946
156.0,0.0,65.81881856026237,15.406532998317328,21.588286857375813,0.8657858269434601,0.15026460875570682,0.0467548968302989,36.69432906853701,18.49640813537011,1.0591917362892929,0.7187066264286459,1.3409393916733305,1.1300959412677285
158.0,0.0,66.10422292783207,15.34433716281829,21.386743413061772,0.8661217696379444,0.15068844840303053,0.04722812356979002,36.48717274690441,18.330729410350195,1.0574180964677256,0.7259024009846111,1.3297580165576195,1.1266102062789494
160.0,0.0,66.38826010965964,15.282587857909498,21.188156827578418,0.8664815344490157,0.1511095614711245,0.047705010300166675,36.524265675572714,18.167613684571606,1.055667846711918,0.7330965445966449,1.3188069340371225,1.1231380245069473
162.0,0.0,66.67089386907287,15.22133585974989,20.992764558467147,0.8668864556744875,0.15152795753846746,0.04818559663063139,36.37724834491859,18.007053019426994,1.0539412838569824,0.7402823380261034,1.308112541852103,1.1196821810573425
164.0,0.0,66.95226978997687,15.160544999011787,20.80039076357556,0.8673238043703431,0.1519438311471091,0.048669958369587915,36.24327767633442,17.84899171841939,1.0522364861126974,0.7474658961254514,1.29765598168694,1.1162392875107208
166.0,0.0,67.23246445297006,15.100194436319102,20.61100333030747,0.8677930951992806,0.15235730861803978,0.04915816316834029,36.10602366421954,17.693394510989048,1.0505524498212075,0.7546430478703146,1.2874340603213477,1.1128109117491405
168.0,0.0,67.51153383456439,15.040301966196527,20.42461654290762,0.8682972179675853,0.15276851039769263,0.04965028253967768,35.89323762101978,17.540217237149154,1.0488885639739198,0.7618103510734646,1.2774485599838976,1.1093982600265113
170.0,0.0,67.78961152992538,14.980832549104338,20.241012721614656,0.8688208521723149,0.15317762557330847,0.05014639101560961,35.81384234209612,17.38940803588549,1.0472432422425442,0.7689719478815065,1.2676766911132942,1.1059989350591275
172.0,0.0,68.0666729433535,14.921815406032149,20.060415386360976,0.8693838924021722,0.15358472549913513,0.0506465524978863,35.55772416275063,17.240961521820903,1.0456171084115047,0.7761221190364253,1.2581422828881166,1.1026152342741447
174.0,0.0,68.34287631536445,14.863203177657853,19.88249755678904,0.8699626583157996,0.15399000426273157,0.05115084440603487,35.445547902927025,17.094815224084414,1.044008210099376,0.7832639382263529,1.248811184611676,1.099245290957589
176.0,0.0,68.61823896808959,14.805013804321474,19.707339042051572,0.8705656562935005,0.1543935616874783,0.05165933769573051,35.33458956629495,16.9509465318953,1.0424166231941419,0.7903933911263132,1.2396921036465938,1.0958905961384509
178.0,0.0,68.89280611307403,14.747255927934317,19.53494131913951,0.8711948180514136,0.15479552732751875,0.05217210979518981,35.187742834655566,16.8093227024184,1.040842113514378,0.7975075874284755,1.2307852191639275,1.0925521038963535
180.0,0.0,69.16667054113056,14.68990514401657,19.36510929920904,0.8718373888013755,0.15519603951689445,0.052689224115719906,35.14209758553506,16.669906685275336,1.0392836390110354,0.8046093454479086,1.2220708022385183,1.089228096542184
-30.0,0.8,89.08117744953643,13.10483870967742,11.48,0.8611095785864007,0.1930554845416145,0.11110892574554117,6.38143319990411,10.446799131444001,0.9928590470346963,0.9999992540156787,0.9999993377001946,0.999999783498902
-28.0,0.8,89.09484695968223,11.406455099149658,11.562867464182883,0.89468521109208,0.1924647654685486,0.11002828713873394,7.199791056233835,11.552385604999879,0.9897283859128008,1.6865465468201881,1.006501366308236,0.6554800104933235
-26.0,0.8,89.20473794973853,9.269982759985162,11.8190454000718,0.9585127673707472,0.1900306777905842,0.10954327875271375,9.23463780665565,12.515867934923854,0.976859216284713,1.8430041391438858,1.0263698752194732,0.5467528104391259
-24.0,0.8,89.47617030350978,7.98160685271265,12.15228937413589,1.0279337915286324,0.18680703487183467,0.11055905175734634,11.390645563393583,12.991291397197692,0.9592051656091289,1.8905368175852417,1.0517374332308191,0.5082995176082097
-22.0,0.8,89.92050651860829,7.306727146956406,12.482527728005717,1.0929388054982148,0.1837726823566632,0.11291857181352612,13.259524863758662,13.121542597491235,0.9414562582424715,1.8987852193542736,1.0762687240663271,0.5012863194340562
-20.0,0.8,90.52337482783489,7.004701799519273,12.766319439600782,1.1487450786394375,0.18138500387483847,0.1163190004769706,14.721175355953642,13.049468921333382,0.9258048808105706,1.8887104391811689,1.0967015384999392,0.5098378419079189
-18.0,0.8,91.2590934024566,6.914280792570512,12.986554147917394,1.1937275833812788,0.17978100796790697,0.1204477991205556,15.782943534585737,12.876193733381774,0.9129395657801203,1.8709404359041488,1.1118980335362834,0.5245410950374837
-16.0,0.8,92.09867003576093,6.931912351275296,13.141999157631343,1.2281815268605332,0.1789349421777518,0.1250280631931564,16.51105868459827,12.666047386951282,0.9028071224583627,1.8515722291468104,1.1219372519430082,0.5400516398308878
-14.0,0.8,93.01439347333735,6.994863483279634,13.239672885982994,1.253390222081908,0.17874946574919642,0.12983863484723654,16.98843254799279,12.455639861722409,0.8950431122324218,1.8338161731040825,1.127488186354113,0.5538351115848631
-12.0,0.8,93.98220913128472,7.068677253837006,13.289753263402895,1.2709683780098335,0.17910614142017695,0.13471857052623848,17.29948815244357,12.262731585981205,0.8892009556645615,1.8189663609231448,1.1294154329472847,0.5650648663219441
