key,value,source
Glucagon secretion (potentiation)|ivitt|class,TypeI,results/scans/*_classification.csv
Glucagon secretion (potentiation)|ivitt|u_opt,0.9,results/scans/*_classification.csv
Glucagon secretion (potentiation)|ivitt|L0,69.18036601508939,results/scans/*_classification.csv
Glucagon secretion (potentiation)|ivitt|Lopt,54.21133157671306,results/scans/*_classification.csv
Glucagon secretion (potentiation)|ivitt|L1,54.34065633416111,results/scans/*_classification.csv
Glucagon secretion (potentiation)|ivitt|G0,14.969034438376326,results/scans/*_classification.csv
Glucagon secretion (potentiation)|ivitt|G1,0.129324757448046,results/scans/*_classification.csv
Insulin signalling (inhibition)|ivitt|class,TypeI,results/scans/*_classification.csv
Insulin signalling (inhibition)|ivitt|u_opt,1.0,results/scans/*_classification.csv
Insulin signalling (inhibition)|ivitt|L0,69.18036601508939,results/scans/*_classification.csv
Insulin signalling (inhibition)|ivitt|Lopt,0.8855582651461509,results/scans/*_classification.csv
Insulin signalling (inhibition)|ivitt|L1,0.8855582651461509,results/scans/*_classification.csv
Insulin signalling (inhibition)|ivitt|G0,,results/scans/*_classification.csv
Insulin signalling (inhibition)|ivitt|G1,,results/scans/*_classification.csv
Glucagon signalling (inhibition)|ivitt|class,Type0,results/scans/*_classification.csv
Glucagon signalling (inhibition)|ivitt|u_opt,0.0,results/scans/*_classification.csv
Glucagon signalling (inhibition)|ivitt|L0,69.18036601508939,results/scans/*_classification.csv
Glucagon signalling (inhibition)|ivitt|Lopt,69.18036601508939,results/scans/*_classification.csv
Glucagon signalling (inhibition)|ivitt|L1,91.86792800571376,results/scans/*_classification.csv
Glucagon signalling (inhibition)|ivitt|G0,,results/scans/*_classification.csv
Glucagon signalling (inhibition)|ivitt|G1,,results/scans/*_classification.csv
Insulin secretion (impairment)|ivitt|class,TypeI,results/scans/*_classification.csv
Insulin secretion (impairment)|ivitt|u_opt,1.0,results/scans/*_classification.csv
Insulin secretion (impairment)|ivitt|L0,69.18036601508939,results/scans/*_classification.csv
Insulin secretion (impairment)|ivitt|Lopt,20.282953824557445,results/scans/*_classification.csv
Insulin secretion (impairment)|ivitt|L1,20.282953824557445,results/scans/*_classification.csv
Insulin secretion (impairment)|ivitt|G0,,results/scans/*_classification.csv
Insulin secretion (impairment)|ivitt|G1,,results/scans/*_classification.csv
Glucagon secretion (suppression)|ivitt|class,Type0,results/scans/*_classification.csv
Glucagon secretion (suppression)|ivitt|u_opt,0.0,results/scans/*_classification.csv
Glucagon secretion (suppression)|ivitt|L0,69.18036601508939,results/scans/*_classification.csv
Glucagon secretion (suppression)|ivitt|Lopt,69.18036601508939,results/scans/*_classification.csv
Glucagon secretion (suppression)|ivitt|L1,410.1860473250126,results/scans/*_classification.csv
Glucagon secretion (suppression)|ivitt|G0,,results/scans/*_classification.csv
Glucagon secretion (suppression)|ivitt|G1,,results/scans/*_classification.csv
Insulin signalling (peripheral uptake)|ivitt|class,Type0,results/scans/*_classification.csv
Insulin signalling (peripheral uptake)|ivitt|u_opt,0.0,results/scans/*_classification.csv
Insulin signalling (peripheral uptake)|ivitt|L0,69.18036601508939,results/scans/*_classification.csv
Insulin signalling (peripheral uptake)|ivitt|Lopt,69.18036601508939,results/scans/*_classification.csv
Insulin signalling (peripheral uptake)|ivitt|L1,147.41132208837115,results/scans/*_classification.csv
Insulin signalling (peripheral uptake)|ivitt|G0,,results/scans/*_classification.csv
Insulin signalling (peripheral uptake)|ivitt|G1,,results/scans/*_classification.csv
Insulin signalling (hepatic)|ivitt|class,Type0,results/scans/*_classification.csv
Insulin signalling (hepatic)|ivitt|u_opt,0.0,results/scans/*_classification.csv
Insulin signalling (hepatic)|ivitt|L0,69.18036601508939,results/scans/*_classification.csv
Insulin signalling (hepatic)|ivitt|Lopt,69.18036601508939,results/scans/*_classification.csv
Insulin signalling (hepatic)|ivitt|L1,73.63233173100079,results/scans/*_classification.csv
Insulin signalling (hepatic)|ivitt|G0,,results/scans/*_classification.csv
Insulin signalling (hepatic)|ivitt|G1,,results/scans/*_classification.csv
Insulin signalling (global)|civii|class,Type0,results/scans/*_classification.csv
Insulin signalling (global)|civii|u_opt,0.0,results/scans/*_classification.csv
Insulin signalling (global)|civii|L0,4.997180791405992,results/scans/*_classification.csv
Insulin signalling (global)|civii|Lopt,4.997180791405992,results/scans/*_classification.csv
Insulin signalling (global)|civii|L1,9.553308156609129,results/scans/*_classification.csv
Insulin signalling (global)|civii|G0,,results/scans/*_classification.csv
Insulin signalling (global)|civii|G1,,results/scans/*_classification.csv
Glucagon signalling (hepatic HGP)|civii|class,TypeI,results/scans/*_classification.csv
Glucagon signalling (hepatic HGP)|civii|u_opt,0.865,results/scans/*_classification.csv
Glucagon signalling (hepatic HGP)|civii|L0,4.997180791405992,results/scans/*_classification.csv
Glucagon signalling (hepatic HGP)|civii|Lopt,4.739821108254861,results/scans/*_classification.csv
Glucagon signalling (hepatic HGP)|civii|L1,4.8101992984790565,results/scans/*_classification.csv
