Intervention,Challenge,Class,u*,L(0),L(u*),L(1),G0,G1
Glucagon signalling (hepatic HGP),ivitt,TypeI,1.0,69.18036601508939,56.28692782171502,56.28692782171502,,
Insulin secretion (potentiation),ivitt,Type0,0.0,69.18036601508939,69.18036601508939,174.29932713289557,,
Glucagon secretion (potentiation),ivitt,TypeI,0.9,69.18036601508939,54.21133157671306,54.34065633416111,14.969034438376326,0.129324757448046
Insulin signalling (inhibition),ivitt,TypeI,1.0,69.18036601508939,0.8855582651461509,0.8855582651461509,,
Glucagon signalling (inhibition),ivitt,Type0,0.0,69.18036601508939,69.18036601508939,91.86792800571376,,
Insulin secretion (impairment),ivitt,TypeI,1.0,69.18036601508939,20.282953824557445,20.282953824557445,,
Glucagon secretion (suppression),ivitt,Type0,0.0,69.18036601508939,69.18036601508939,410.1860473250126,,
Insulin signalling (peripheral uptake),ivitt,Type0,0.0,69.18036601508939,69.18036601508939,147.41132208837115,,
Insulin signalling (hepatic),ivitt,Type0,0.0,69.18036601508939,69.18036601508939,73.63233173100079,,
Insulin signalling (global),civii,Type0,0.0,4.997180791405992,4.997180791405992,9.553308156609129,,
Glucagon signalling (hepatic HGP),civii,TypeI,0.865,4.997180791405992,4.739821108254861,4.8101992984790565,0.2573596831511304,0.0703781902241953
Insulin secretion (potentiation),civii,TypeII,0.52,4.997180791405992,3.781370094788012,27.71917716522804,1.2158106966179796,23.937807070440027
Glucagon secretion (potentiation),civii,TypeII*,0.5900000000000001,4.997180791405992,4.583586177581677,4.66514943866088,0.4135946138243147,0.0815632610792027
Insulin signalling (inhibition),civii,TypeI,1.0,4.997180791405992,2.897285376030188,2.897285376030188,,
Glucagon signalling (inhibition),civii,Type0,0.05,4.997180791405992,4.982775499910963,5.132416698542221,,
Insulin secretion (impairment),civii,TypeII,0.2699999999999999,4.997180791405992,4.657663041208887,13.54091586394278,0.3395177501971043,8.883252822733894
Glucagon secretion (suppression),civii,Type0,0.55,4.997180791405992,4.729452765230298,246.4177177514269,,
Insulin signalling (peripheral uptake),civii,Type0,0.05,4.997180791405992,4.995065392395931,5.686333627466557,,
Insulin signalling (hepatic),civii,Type0,0.0,4.997180791405992,4.997180791405992,5.522571481834259,,
